meas_id,station_id,alignment,name,control,file_indicator,feature_group,gdt,critical_point,risk_level,images_folder,tol_min_drawing,tol_max_drawing,tol_min_prod,tol_max_prod
615,10,ABC,Dim Point 1,Position,OP-TLA_A,B4 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,2.0,0.0,2.0
616,10,ABC,Dim Point 1&2.1,PositionS?,OP-TLA_A,B4 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,2.0,0.0,2.0
617,10,ABC,Dim Point 1&2.2,Profile of a surface,OP-TLA_A,B4 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,30.0,0.0,30.0
618,10,ABC,Dim Point 2,Position,OP-TLA_A,B4 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,2.0,0.0,2.0
619,10,ABC,Dim Point 3&4.1,Position,OP-TLA_A,B3 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,2.0,0.0,2.0
620,10,ABC,Dim Point 3&4.2,Position,OP-TLA_A,B3 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,2.0,0.0,2.0
621,10,ABC,Dim Point 3.1,Position,OP-TLA_A,B3 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,4.0,0.0,4.0
622,10,ABC,Dim Point 3.2,Position?,OP-TLA_A,B3 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,5.0,0.0,5.0
623,10,ABC,Dim Point 4.1,Position,OP-TLA_A,B3 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,4.0,0.0,4.0
624,10,ABC,Dim Point 4.2,Position?,OP-TLA_A,B3 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,5.0,0.0,5.0
625,10,ABC,Dim Point 5N X,Position,OP-TLA_A,B2 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,7.0,0.0,7.0
626,10,ABC,Dim Point 5N Y,Position,OP-TLA_A,B2 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,8.0,0.0,8.0
627,10,ABC,Dim Point 5N Z,Position,OP-TLA_A,B2 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,5.0,0.0,5.0
628,10,ABC,Dim Point 6N X,Position,OP-TLA_A,B2 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,6.0,0.0,6.0
629,10,ABC,Dim Point 6N Y,Position,OP-TLA_A,B2 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,8.0,0.0,8.0
630,10,ABC,Dim Point 6N Z,Position,OP-TLA_A,B2 Bracket,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,5.0,0.0,5.0
631,10,ABC,Dim Point 7&8.1,Profile of a surface,OP-TLA_A,P-Clips,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,5.0,0.0,5.0
632,10,ABC,Dim Point 7&8.2,Perpendicularity,OP-TLA_A,P-Clips,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,3.0,0.0,3.0
633,10,ABC,Dim Point 7.Y,Position,OP-TLA_A,P-Clips,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,6.0,0.0,6.0
634,10,ABC,Dim Point 7.Z,Position,OP-TLA_A,P-Clips,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,4.0,0.0,4.0
635,10,ABC,Dim Point 8.Y,Position,OP-TLA_A,P-Clips,True,False,0,/media/mpoints/OPTLA(A)_ZEISS_EOL_GDT,0.0,6.0,0.0,6.0
